ID,F1,F5,F2,F6,F4,F3
1,31,28,48,18,17,20
2,31,27,47,20,17,19
3,36,32,46,17,18,19
4,32,30,54,16,15,12
5,37,36,47,19,19,22
6,36,37,51,24,23,20
7,36,29,56,22,19,22
8,39,29,49,16,21,18
9,36,30,52,19,22,21
10,35,40,58,23,19,28
11,33,31,48,20,19,20
12,38,29,56,19,22,28
13,30,33,45,18,16,18
14,30,31,52,18,18,23
15,30,30,49,23,19,17
16,30,31,54,11,23,26
17,32,29,55,21,18,18
18,33,22,51,23,14,6
19,36,39,55,21,19,21
20,31,27,41,16,16,17
21,32,26,60,17,21,22
22,36,33,55,17,18,12
23,30,35,51,21,16,22
24,34,28,51,21,20,17
25,38,24,53,18,17,24
26,29,27,44,17,16,16
27,32,31,51,19,19,20
28,27,27,50,18,11,20
29,29,22,53,18,17,16
30,31,31,47,15,19,18
31,36,35,57,22,20,22
32,34,30,50,21,15,19
33,29,28,52,21,16,18
34,38,33,57,21,24,16
35,31,27,52,19,20,17
36,25,34,47,19,22,14
37,36,30,55,23,21,16
38,25,29,43,16,12,10
39,23,25,45,15,16,15
40,36,29,51,20,21,17
41,24,20,44,12,12,17
42,34,35,52,18,17,23
43,36,32,56,23,16,14
44,32,33,54,20,18,20
45,38,32,58,20,21,17
46,26,33,57,20,19,23
47,27,26,51,19,17,21
48,36,37,54,19,16,20
49,32,28,49,20,19,17
50,32,29,49,16,19,22
51,34,29,52,23,17,24
52,32,30,51,19,20,18
53,39,34,56,22,18,22
54,38,38,58,22,19,25
55,31,27,48,18,18,24
56,35,26,51,16,17,14
57,39,32,55,18,24,21
58,35,24,51,18,19,15
59,35,31,53,23,16,24
60,38,30,57,18,16,29
61,29,34,53,19,25,22
62,34,31,53,19,23,23
63,34,32,49,17,18,18
64,37,32,56,19,18,23
65,30,26,49,10,25,24
66,28,30,52,17,16,9
67,38,37,58,21,20,25
68,38,33,56,18,14,23
69,35,29,60,21,24,23
70,36,38,60,24,22,23
71,40,37,59,21,21,22
72,35,27,55,16,17,22
73,38,30,57,17,23,30
74,35,27,56,22,16,24
75,30,32,51,15,21,20
76,37,33,45,19,19,16
77,32,30,48,18,19,19
78,33,27,49,20,18,13
